Dim,RMSE,MAE,R2,CumVar,StorageRatio,CUS,Method
5,0.8617,0.6917,0.2406,0.2406,0.1111,0.37,Standard PCA
10,0.7585,0.5941,0.4116,0.4116,0.2222,0.6009,Standard PCA
15,0.6679,0.5131,0.5437,0.5437,0.3333,0.7541,Standard PCA
20,0.5755,0.4393,0.6613,0.6613,0.4444,0.8782,Standard PCA
25,0.4757,0.3604,0.7685,0.7685,0.5556,0.9815,Standard PCA
30,0.3646,0.2639,0.8641,0.8641,0.6667,1.0615,Standard PCA
35,0.2384,0.1558,0.9419,0.9419,0.7778,1.106,Standard PCA
40,0.0374,0.0137,0.9986,0.9986,0.8889,1.1083,Standard PCA
45,0.0,0.0,1.0,1.0,1.0,1.0,Standard PCA
5,0.8617,0.6917,0.2406,0.2406,0.1111,0.37,Ship-Aware Weighted PCA
10,0.7585,0.5941,0.4116,0.4116,0.2222,0.6009,Ship-Aware Weighted PCA
15,0.6679,0.5131,0.5437,0.5437,0.3333,0.7541,Ship-Aware Weighted PCA
20,0.5755,0.4393,0.6613,0.6613,0.4444,0.8782,Ship-Aware Weighted PCA
25,0.4757,0.3604,0.7685,0.7685,0.5556,0.9815,Ship-Aware Weighted PCA
30,0.3646,0.2639,0.8641,0.8641,0.6667,1.0615,Ship-Aware Weighted PCA
35,0.2384,0.1558,0.9419,0.9419,0.7778,1.106,Ship-Aware Weighted PCA
40,0.0374,0.0137,0.9986,0.9986,0.8889,1.1083,Ship-Aware Weighted PCA
45,0.0,0.0,1.0,1.0,1.0,1.0,Ship-Aware Weighted PCA
