variable,count,mean,std,min,25%,50%,75%,max
Cp,70.0,0.5510133778857144,0.017359756826923547,0.517,0.542207417,0.549074072,0.5583686185000001,0.599023499
Cm,70.0,0.7086151600999999,0.04516850811513627,0.645847722,0.6493725917500001,0.7116950259999999,0.750807367,0.790729128
Cb,70.0,0.38733902417142857,0.021915547097941447,0.341832366,0.36693588850000003,0.3925034355,0.403510737,0.439816526
Cw,70.0,0.6813445768571429,0.017104389591366294,0.639205808,0.67146472675,0.682900033,0.6905054287500001,0.724132446
Lwl/Bwl,70.0,3.8837293258428573,0.7366719562132715,2.728603604,3.318951116,3.8835820985,4.499438184500001,5.872514382
Bwl/Tc,70.0,5.964980888085715,2.980616281652604,2.460176854,4.10984838075,5.4062943185,6.30259496875,19.377906
Lwl/Tc,70.0,23.247624389014288,11.737429669053165,8.865248194,13.821719835,21.346686785,27.1290242325,63.2911423
Lwl/Vol^(1/3),70.0,6.001875821671429,1.1256592954956275,4.336567418,4.9818517045,6.0071561995,6.90168339025,8.498839804
Lcb/Lwl,70.0,-0.0340900938,0.017009759574473423,-0.079000004,-0.0467713705,-0.032849999500000004,-0.022325,0.0
Lcf/Lwl,70.0,-0.05691389264285716,0.01856666683548142,-0.091399997,-0.07273453425,-0.0584000005,-0.043175000000000005,-0.0179
Lcb/Lcf,70.0,0.5739220753571429,0.20841968617900747,0.0,0.4516639005,0.636932415,0.6883889905,1.022494868
Sc/Vol^(2/3),70.0,7.131925535414284,1.5898901386317124,5.076532647,5.86109699475,6.9792728085,7.77116057475,12.60221538
Aw/Vol^(2/3),70.0,6.435942646871427,1.837371139529353,3.780399698,5.01066018025,6.232134370000001,7.099419043,12.66582027
Sc/Aw,70.0,1.1265196098714287,0.08081603830760839,0.994978225,1.0850907665,1.1148131435,1.15161072475,1.435308169
Sc/Ax,70.0,24.247290712999998,9.764440772563828,11.65989473,16.304055015,22.17039354,29.289537064999998,56.71717043
Ax/Aw,70.0,0.05433900914285714,0.022152803112377526,0.017625066,0.03773696825,0.050270576,0.07161307125000001,0.110887111
