Analysis,Estimator,Condition,Median,Q2.5,Q97.5,Min,Max
Leave-one-hull-out jackknife,MLE_k10,70 fits,3.5650123211616886,3.4932897143218637,3.629252556333922,,
Leave-one-hull-out jackknife,MLE_k15,70 fits,3.3687961108326063,3.3116159920640773,3.4157226223829436,,
Leave-one-hull-out jackknife,TWO_NN,70 fits,2.784508653560682,2.71481293790539,3.0195158629964887,,
Subsampling without replacement,MLE_k10,80%,3.583705906605242,3.308732733435815,3.8806809808895166,,
Subsampling without replacement,MLE_k15,80%,3.477620739236367,3.2568085414580237,3.6897195597593173,,
Subsampling without replacement,TWO_NN,80%,2.9797050685653943,2.5133220173922646,3.707056279385533,,
Subsampling without replacement,MLE_k10,90%,3.5806794045749157,3.4024127386298533,3.7614451928024115,,
Subsampling without replacement,MLE_k15,90%,3.425433005232369,3.29614854876347,3.5476148196260437,,
Subsampling without replacement,TWO_NN,90%,2.8692638843731695,2.578318749065284,3.395520207629048,,
Leave-one-variable-out,MLE_k10,16 omitted descriptors,3.589654715696132,3.3916493968750534,3.679732540650334,3.378576419942265,3.711619883460342
Leave-one-variable-out,MLE_k15,16 omitted descriptors,3.407163337213169,3.2553606346896404,3.4792808959896764,3.2199306950184736,3.4849650171811746
Leave-one-variable-out,TWO_NN,16 omitted descriptors,2.8272548423274815,2.5178762534705683,3.1412413685625866,2.425103609274409,3.1935647838225067
