method,neighbors,dimensions,reconstruction_error,method_family
Isomap,5,2,5.495167186368429,Isomap
Isomap,5,3,3.91878739297602,Isomap
Isomap,5,4,3.0377957284730925,Isomap
Isomap,7,2,4.911067340716564,Isomap
Isomap,7,3,3.5900830335905103,Isomap
Isomap,7,4,2.96432983187667,Isomap
Isomap,10,2,4.328303922025786,Isomap
Isomap,10,3,3.49493955907066,Isomap
Isomap,10,4,2.771560230797767,Isomap
Isomap,12,2,4.109130352360733,Isomap
Isomap,12,3,3.2986910813533448,Isomap
Isomap,12,4,2.5546011634074,Isomap
Isomap,15,2,3.786828733110464,Isomap
Isomap,15,3,3.0705214479293823,Isomap
Isomap,15,4,2.4415742073443805,Isomap
Isomap,20,2,3.3909453241972862,Isomap
Isomap,20,3,2.7014029829413517,Isomap
Isomap,20,4,2.1607064375134075,Isomap
LLE,5,2,2.8454810735918777e-07,LLE
LLE,5,3,8.419654810968914e-05,LLE
LLE,5,4,0.00024062189560882194,LLE
LLE,7,2,3.263466328316655e-06,LLE
LLE,7,3,1.6054647336448035e-05,LLE
LLE,7,4,3.2694336861922074e-05,LLE
LLE,10,2,1.3354748983493271e-05,LLE
LLE,10,3,4.2313514095030475e-05,LLE
LLE,10,4,9.17973385145315e-05,LLE
LLE,12,2,2.085526143766455e-05,LLE
LLE,12,3,7.376224779113001e-05,LLE
LLE,12,4,0.0001546469843088093,LLE
LLE,15,2,1.0268004648442334e-05,LLE
LLE,15,3,0.00010426763365322812,LLE
LLE,15,4,0.00027688452540379927,LLE
LLE,20,2,2.7501762296823974e-05,LLE
LLE,20,3,0.00010936935741191514,LLE
LLE,20,4,0.00028796172887233216,LLE
