method,neighbors,dimensions,reconstruction_error
Isomap,5,2,5.495167186368429
Isomap,5,3,3.91878739297602
Isomap,5,4,3.0377957284730925
Isomap,7,2,4.911067340716564
Isomap,7,3,3.5900830335905103
Isomap,7,4,2.96432983187667
Isomap,10,2,4.328303922025786
Isomap,10,3,3.49493955907066
Isomap,10,4,2.771560230797767
Isomap,12,2,4.109130352360733
Isomap,12,3,3.2986910813533448
Isomap,12,4,2.5546011634074
Isomap,15,2,3.786828733110464
Isomap,15,3,3.0705214479293823
Isomap,15,4,2.4415742073443805
Isomap,20,2,3.3909453241972862
Isomap,20,3,2.701402982941352
Isomap,20,4,2.1607064375134075
