method,neighbors,dimensions,reconstruction_error
LLE,5,2,2.8454810735918777e-07
LLE,5,3,8.419654810968914e-05
LLE,5,4,0.0002406218956088
LLE,7,2,3.263466328316655e-06
LLE,7,3,1.6054647336448035e-05
LLE,7,4,3.2694336861922074e-05
LLE,10,2,1.3354748983493273e-05
LLE,10,3,4.231351409503048e-05
LLE,10,4,9.17973385145315e-05
LLE,12,2,2.085526143766455e-05
LLE,12,3,7.376224779113001e-05
LLE,12,4,0.0001546469843088
LLE,15,2,1.0268004648442334e-05
LLE,15,3,0.0001042676336532
LLE,15,4,0.0002768845254037
LLE,20,2,2.750176229682397e-05
LLE,20,3,0.0001093693574119
LLE,20,4,0.0002879617288723
