omitted_hull_index,MLE_k10,MLE_k15,TWO_NN
1,3.620084116512046,3.4102042924538583,2.846806414109503
2,3.644488450264867,3.3948609414551423,3.0590832141251263
3,3.548590042674613,3.334527627928986,2.753315586994155
4,3.6069803982039494,3.399205543315051,3.044846685508202
5,3.6078513472907194,3.361243737690906,2.9570037560333264
6,3.6291822453636677,3.3829474711582947,3.009907619974805
7,3.569910175781715,3.354807226327946,2.747524956633294
8,3.5240951683659727,3.3618514031108497,2.7120923473679857
9,3.5619877111941216,3.362206326358998,2.7495499280794506
10,3.5749097841559374,3.3662810941950885,2.7922844620269234
11,3.5501933401800585,3.3354184395193056,2.7545384789540726
12,3.592290803574827,3.384763618223661,2.8481276354688365
13,3.576622614718656,3.3819345687841604,2.844318154871603
14,3.571955948265074,3.337932300050068,2.7240821295942945
15,3.5289683883018528,3.355223080133607,2.754434489266564
16,3.490112136220359,3.3144988135804203,2.7733769833832773
17,3.5188665696446857,3.3906615470123396,2.716285976048887
18,3.564833061656286,3.3266179767345903,2.8171973780530872
19,3.5002539487602577,3.3576426376394015,2.860194900800241
20,3.5923026442386568,3.4347905814100677,2.7880192656041958
21,3.5848508864196096,3.3995192637784273,2.779073265500779
22,3.5683237185611536,3.387819897076203,2.829084725885187
23,3.5448874487162008,3.3838830899135246,2.76590693421075
24,3.5306825450280015,3.3613550814026847,2.7792168889301436
25,3.6146342508863123,3.430270946741442,2.8037287926546597
26,3.5026915793131375,3.3475036081494434,2.7971441926123695
27,3.57932010511855,3.3797612489144346,2.822132327335187
28,3.5523197136496307,3.4027488850310825,2.7158448860402675
29,3.61255982233666,3.3949204895251524,2.8203852428597487
30,3.596241223117358,3.3502008694350236,2.726568544256488
31,3.562814800849816,3.3536734294915607,2.819815417973732
32,3.5873313675864855,3.363354395832435,2.729258682146394
33,3.6065965747422877,3.3724763128156314,2.8389024380668384
34,3.615917303341791,3.3755165789770554,2.839244160654461
35,3.5955207211632936,3.387269096347664,2.845735535278786
36,3.5070238901333592,3.32374369900281,2.77097578329428
37,3.5526457513346035,3.375606645177145,2.829016634101219
38,3.6027159492058383,3.387327543101837,2.7541618071846248
39,3.5651915806670913,3.360085468962584,2.771019633658567
40,3.575422403050928,3.367667024213211,2.801063192152582
41,3.5935769508400175,3.387736151610383,2.8733935254830314
42,3.551806779096569,3.357111839554948,2.754560481437394
43,3.494495002567262,3.3040158262482637,2.770602919581448
44,3.5744618552734506,3.3661838878270753,2.7495747301894915
45,3.496208285225312,3.2991567950233724,2.769039199797688
46,3.5854705469290087,3.355453715038764,2.8672551442494836
47,3.629437921619138,3.40518303578141,2.9063926781577734
48,3.4996292986219437,3.3823769478818804,2.748589224947286
49,3.51050339494726,3.3631326514969,2.7527043790332955
50,3.532277475944707,3.358878107546558,2.8977165144043475
51,3.543298267196065,3.3849282321506906,2.9104732330942515
52,3.5474766196778793,3.3630126924558468,2.8586444794947683
53,3.5531027204058026,3.3645297901957836,2.8521041762240427
54,3.5673294113522163,3.37297761120887,2.8442866453912137
55,3.5627468448228092,3.399547181587437,2.78267169893272
56,3.5418649005661367,3.399978038755812,2.705078072407204
57,3.5192921782111215,3.371219517805249,2.7594552945325193
58,3.571808496671191,3.3817071260850105,2.816854301614979
59,3.4774585075817583,3.357503731684838,2.773900499881141
60,3.5405162436923385,3.389278553601724,2.7901060556775716
61,3.5157088279494615,3.3733651065478427,2.753864822603904
62,3.5715517680122435,3.3626773262561853,2.7554701206081793
63,3.5727762809795895,3.3699251974520017,2.8104666608985984
64,3.5323604465687595,3.364908324384831,2.7761962108189793
65,3.561099756829191,3.362102296356848,2.72385039442085
66,3.594515227004152,3.3916980624152893,2.861460446167608
67,3.513015265921837,3.350854546387275,2.774449252259872
68,3.579170531267639,3.367429517651755,2.783662450790075
69,3.5675355674972424,3.401828165211819,2.7853548563312884
70,3.555689790715689,3.409792416534924,2.7599264802181405
