omitted_variable,remaining_dimensions,MLE_k10,MLE_k15,TWO_NN
Cp,15,3.378576419942265,3.314410534141585,2.745560281397163
Cm,15,3.592808705866682,3.4484678830092768,2.8656706837813988
Cb,15,3.5882216553607846,3.4698073606705124,2.925930077465565
Cw,15,3.459753261724716,3.369358894476047,2.9186845320066097
Lwl/Bwl,15,3.5503159826182453,3.3435679139095575,2.425103609274409
Bwl/Tc,15,3.588994856107152,3.3515797487036942,2.7988037723194314
Lwl/Tc,15,3.6035909040058622,3.4163674250058143,2.785713840186046
Lwl/Vol^(1/3),15,3.604012314338643,3.417972458724508,2.672497327130834
Lcb/Lwl,15,3.5836555280133533,3.4450420977912057,2.99951683343676
Lcf/Lwl,15,3.711619883460342,3.4849650171811746,2.8923476163099564
Lcb/Lcf,15,3.6265869693003197,3.450079469814524,3.1935647838225067
Sc/Vol^(2/3),15,3.594941760052555,3.397959249420524,2.8161732950966747
Aw/Vol^(2/3),15,3.5903145752851127,3.389483793897761,2.8383363895582883
Sc/Aw,15,3.413437691763034,3.2199306950184736,3.05403567646272
Sc/Ax,15,3.6167648235010788,3.436138330440966,2.7754847000896863
Ax/Aw,15,3.536935924351584,3.3191802789862654,2.7618557493562745
