Serie,Sysser,Cp,Cm,Cb,Cw,Lwl/Bwl,Bwl/Tc,Lwl/Tc,Lwl/Vol^(1/3),Lcb/Lwl,Lcf/Lwl,Lcb/Lcf,Sc/Vol^(2/3),Aw/Vol^(2/3),Sc/Aw,Sc/Ax,Ax/Aw,mean_response,median_response,min_response,max_response,std_response,n_records
DELFT Series,1,0.564413502,0.646409597,0.364842305,0.688295991,3.154574163,3.992443385,12.59445875,4.775347934,-0.022899999,-0.033299999,0.687687685,5.723559304,4.97558945,1.150327888,15.42654257,0.074568095,38.61443818390909,10.07728844,0.367053553,131.8278395,49.200883143725335,11
DELFT Series,10,0.564413502,0.646409597,0.364842305,0.694006291,3.154574163,3.992443385,12.59445875,4.775347934,0.0,-0.0191,0.0,5.849212399,5.01686836,1.165909085,15.76521169,0.073954547,49.91650243541667,19.225820165,0.333685048,145.2975926,57.73768659852816,12
DELFT Series,11,0.564536539,0.646409597,0.364921836,0.681829176,3.154574163,3.992443385,12.59445875,4.775000993,-0.049800001,-0.049700001,1.002012088,5.567006386,4.928125638,1.129639704,15.00677053,0.075275337,41.71367183527273,11.40954147,0.366973556,146.5002918,53.51044576700861,11
DELFT Series,12,0.563717774,0.646505737,0.364446775,0.693438842,3.50877198,3.936463992,13.81215456,5.104197708,-0.0001,-0.0193,0.005181347,6.027587594,5.148823379,1.170672822,17.34334034,0.067499847,26.8264830111875,10.3771060515,0.271651991,107.9001708,33.12078078884943,16
DELFT Series,14,0.528902639,0.646304899,0.341832366,0.657123062,3.50877198,3.691709794,12.95336788,5.103971275,-0.023,-0.034700001,0.662824201,5.75690108,4.87874373,1.179996613,15.54077678,0.075929063,54.73894901115385,26.17018611,0.380262175,144.8798886,58.8883269425425,13
DELFT Series,15,0.530364834,0.646189257,0.342716058,0.658449135,3.164557162,3.682983445,11.65501164,4.756604776,-0.022899999,-0.034499999,0.663768116,5.565590959,4.707641922,1.182246027,14.04051612,0.084202462,41.4214769136,5.276341202,0.296794193,153.7723689,57.68447981131163,15
DELFT Series,16,0.529165028,0.646296154,0.341997322,0.657445271,3.154574163,2.81028365,8.865248194,4.340465532,-0.023,-0.034799999,0.660919563,5.076532647,3.926372392,1.292932035,11.65989473,0.110887111,68.4154913263077,27.89689284,0.100228357,182.0314019,75.98674039781288,13
DELFT Series,17,0.598367648,0.646962192,0.387121245,0.724132446,3.154574163,4.243641214,13.38688093,4.778127257,-0.0001,-0.0179,0.005586592,5.990268458,5.240740911,1.143019386,17.12663738,0.066739276,57.65009045107692,28.01165972,0.133707206,152.8273368,61.662852592108784,13
DELFT Series,18,0.598889236,0.64653989,0.387205781,0.711924555,3.154574163,4.243641214,13.38688093,4.777779508,-0.049999998,-0.048899999,1.022494868,5.701774067,5.15163918,1.106788319,16.31483235,0.067839393,42.781015654,11.90848317,0.044559338,148.5274145,55.38372891913541,11
DELFT Series,2,0.567367424,0.646341669,0.366713208,0.690833066,3.623188502,3.04299897,11.02535888,4.775868614,-0.023,-0.0334,0.688622759,5.421911768,4.348975172,1.246710214,14.69160399,0.084858686,39.95314389290909,9.657779132,0.389426578,132.8055895,50.45883570026702,11
DELFT Series,20,0.529999692,0.645847722,0.342299094,0.651136148,3.154574163,3.75147948,11.83432024,4.777779508,-0.049899997,-0.0509,0.980353577,5.437433352,4.711761191,1.154012933,13.76878654,0.083813699,43.92234233354545,11.25123293,0.523572225,150.8890594,56.12783380012572,11
DELFT Series,21,0.598096114,0.646865707,0.386887866,0.718140049,3.50877198,4.166666712,14.61988341,5.099230561,-0.022899999,-0.0322,0.711180101,6.022098139,5.321858196,1.131578091,18.36637545,0.061611399,37.335545679545454,12.41891671,0.46046147,124.3787689,46.09798939055819,11
DELFT Series,22,0.599023499,0.646577562,0.387315153,0.718797974,2.732240392,4.231213905,11.56069354,4.336567418,-0.022899999,-0.0322,0.711180101,5.581375434,4.947435512,1.128135055,14.49877126,0.077809011,45.06313569890909,12.16162464,0.066639039,163.9153765,60.34326378744107,11
DELFT Series,23,0.547296398,0.720584786,0.394373458,0.673368085,3.472222372,4.090908937,14.20454553,5.000833538,-0.0185,-0.052900001,0.349716441,5.776425316,4.849866617,1.191048285,15.809719,0.075336461,59.25503657657144,37.696137805,0.434316735,144.2825742,59.2929451187564,14
DELFT Series,24,0.543115932,0.739490366,0.401628999,0.66989506,3.496503333,10.95785476,38.31417571,6.935154223,-0.0209,-0.058400001,0.357876702,9.518270322,9.214782216,1.032934919,35.85144798,0.028811526,95.011987855125,88.479115175,0.953952724,252.4227048,83.79464899964798,24
DELFT Series,25,0.548398556,0.726724181,0.398534492,0.671320021,4.0,5.387931103,21.55172441,6.002866718,-0.0199,-0.055399999,0.359205778,6.795729344,6.047655025,1.123696592,22.37129255,0.0502294,48.036498726235294,44.07775369,0.441882243,119.5512407,43.53370307950337,17
DELFT Series,26,0.54258239,0.749316517,0.406565947,0.678394567,3.993610116,12.90721646,51.54639023,7.970354541,-0.020500001,-0.063299999,0.323854676,10.90306173,10.79125556,1.010360811,47.15109743,0.02142815,51.25894079907143,40.64956649,1.189491131,127.7410041,45.16967704213288,14
DELFT Series,27,0.546254278,0.723702027,0.395325329,0.676978463,4.496402984,2.460176854,11.06194655,5.01088052,-0.0188,-0.0524,0.358778618,5.42603857,3.780399698,1.435308169,14.85223374,0.096639212,56.42305215471429,38.000903135,0.385535034,132.7782656,56.02610814520343,14
DELFT Series,28,0.543680284,0.735939792,0.400115955,0.672367199,4.500449918,6.753799201,30.39513507,6.992375038,-0.020500001,-0.059500001,0.344537817,7.882090317,7.304660111,1.079049565,29.96468418,0.03601071,83.18449707799999,82.51602796,0.803160661,208.4376517,67.33790441180872,21
DELFT Series,29,0.549074072,0.751304317,0.412521721,0.671400011,4.0,10.8695652,43.47826079,7.498282142,-0.045899998,-0.076300003,0.601572697,9.733539966,9.437238007,1.031397106,40.07407723,0.025737264,47.40726790357143,35.503931325,0.732039821,120.8296316,43.77096426292646,14
